constituent,classical_partner,TR_d,Tstar_d,dA_cm_at_TR_sample,TR_sample_d,set53_partner,TR53_d
M2,S2,14.77,60,0.004,14,MKS2,182.62
S2,K2,182.62,60,0.021,183,R2,365.26
K2,S2,182.62,60,0.004,183,R2,365.22
K1,P1,182.62,30,0.029,183,PSI1,365.26
P1,K1,182.62,30,0.001,183,PI1,365.26
O1,K1,13.66,14,0.071,14,—,
M4,MN4,27.55,60,0.224,30,SN4,31.81
MS4,MK4,182.62,30,0.048,183,MK4,182.62
MN4,M4,27.55,14,0.145,30,M4,27.55
MK4,MS4,182.62,60,0.04,183,MS4,182.62
M6,2MS6,14.77,60,0.171,14,MSN6,31.81
2MS6,M6,14.77,14,0.068,14,2MK6,182.62
