constituent,T_TIDE_dA,T_TIDE_dg_deg,UTide_dA,UTide_dg_deg,TIRA_dA,TIRA_dg_deg
M2,-38.38,0.00,-0.12,-0.00,-591.32,-1.44
S2,0.11,0.00,-0.01,0.00,-0.91,0.02
N2,-7.18,-0.00,-0.03,-0.00,-109.00,-1.45
K2,-253.12,-0.00,0.02,0.00,502.19,-12.46
K1,-72.03,-0.00,0.01,-0.00,230.60,-6.59
P1,-23.89,0.00,-23.08,-0.00,-23.96,0.08
Q1,-15.85,0.00,-0.11,0.00,47.30,8.53
M4,0.02,0.00,-5.37,-0.00,-41.57,-2.88
MS4,0.00,0.00,-0.84,-0.00,-14.66,-1.43
MF,-131.90,-0.02,-131.89,-0.02,207.51,-18.40
SA,-0.15,0.00,-0.17,0.00,-0.06,0.00
SSA,-0.11,0.02,-0.12,0.02,0.38,-0.00
MM,-2.15,-0.04,-2.15,-0.04,-20.30,-0.03
