constituent,T_TIDE_dA,T_TIDE_dg_deg,UTide_dA,UTide_dg_deg,TIRA_dA,TIRA_dg_deg
M2,4.66,0.02,-0.09,0.00,-129.39,0.15
S2,-7.82,-0.01,-0.05,0.00,5.54,-0.10
N2,0.52,0.05,-0.02,0.00,-22.61,0.20
K2,5.76,0.07,0.03,0.00,129.45,1.11
K1,0.59,0.00,1.55,-0.00,66.58,0.47
P1,-0.57,-0.04,-0.37,-0.04,-4.32,0.63
Q1,0.43,-0.13,-0.01,-0.01,13.74,-0.54
M4,0.81,0.09,-0.08,-0.00,-5.87,0.29
MS4,-0.96,0.02,-0.01,0.01,-2.16,0.03
MF,-7.33,9.83,-0.38,-0.90,9.58,0.16
SA,-1718.34,-157.58,0.10,-0.00,0.26,-0.01
SSA,-4.07,-0.37,0.13,0.01,0.27,0.01
MM,-26.06,-11.41,1.63,-0.42,-1.39,-0.43
