constituent,T_TIDE_dA,T_TIDE_dg_deg,UTide_dA,UTide_dg_deg,TIRA_dA,TIRA_dg_deg
M2,3.46,-0.02,0.10,-0.00,-129.23,0.14
S2,-1.66,-0.01,0.15,0.00,-16.66,0.06
N2,2.53,-0.02,-0.01,0.00,-27.57,0.11
K2,-3.83,-0.02,0.19,0.00,119.51,1.07
K1,-0.03,-0.00,-0.01,0.00,67.15,0.48
P1,-0.63,0.02,-0.08,0.00,-5.79,0.55
Q1,-0.46,-0.03,-0.01,-0.00,12.84,-0.47
M4,0.68,-0.02,-0.05,-0.00,-9.01,0.30
MS4,0.13,-0.03,-0.00,0.00,-4.04,0.19
MF,-8.47,-0.90,-1.78,0.00,57.69,1.10
SA,-798.48,-22.09,-0.02,0.00,0.62,-0.01
SSA,-1.68,0.30,-0.01,0.00,0.02,0.03
MM,-20.65,-1.98,0.05,-0.01,-4.71,-0.06
